date,state,index,dataPoint,candidate,percentage
2019.11.1,Wyoming,vote,1,Trump,69.1
2019.11.1,Wyoming,vote,1,Democrats,24.5
2019.11.1,Wyoming,vote,1,3rd Party,6.3
2019.11.1,Wyoming,win,1,Trump,100.0
2019.11.1,Wyoming,win,1,Democrats,0.0
2019.11.1,Wyoming,win,1,3rd Party,0.0
2019.11.1,Wisconsin,vote,1,Trump,47.1
2019.11.1,Wisconsin,vote,1,Democrats,48.7
2019.11.1,Wisconsin,vote,1,3rd Party,4.1
2019.11.1,Wisconsin,win,1,Trump,44.9
2019.11.1,Wisconsin,win,1,Democrats,55.1
2019.11.1,Wisconsin,win,1,3rd Party,0.0
2019.11.1,West Virginia,vote,1,Trump,65.5
2019.11.1,West Virginia,vote,1,Democrats,31.3
2019.11.1,West Virginia,vote,1,3rd Party,3.1
2019.11.1,West Virginia,win,1,Trump,99.9
2019.11.1,West Virginia,win,1,Democrats,0.1
2019.11.1,West Virginia,win,1,3rd Party,0.0
2019.11.1,Washington,vote,1,Trump,37.6
2019.11.1,Washington,vote,1,Democrats,56.3
2019.11.1,Washington,vote,1,3rd Party,6.0
2019.11.1,Washington,win,1,Trump,8.1
2019.11.1,Washington,win,1,Democrats,91.9
2019.11.1,Washington,win,1,3rd Party,0.0
2019.11.1,Virginia,vote,1,Trump,43.7
2019.11.1,Virginia,vote,1,Democrats,52.7
2019.11.1,Virginia,vote,1,3rd Party,3.4
2019.11.1,Virginia,win,1,Trump,25.7
2019.11.1,Virginia,win,1,Democrats,74.3
2019.11.1,Virginia,win,1,3rd Party,0.0
2019.11.1,Vermont,vote,1,Trump,29.2
2019.11.1,Vermont,vote,1,Democrats,63.6
2019.11.1,Vermont,vote,1,3rd Party,7.1
2019.11.1,Vermont,win,1,Trump,0.1
2019.11.1,Vermont,win,1,Democrats,99.9
2019.11.1,Vermont,win,1,3rd Party,0.0
2019.11.1,Utah,vote,1,Trump,60.4
2019.11.1,Utah,vote,1,Democrats,31.5
2019.11.1,Utah,vote,1,3rd Party,8.0
2019.11.1,Utah,win,1,Trump,99.6
2019.11.1,Utah,win,1,Democrats,0.4
2019.11.1,Utah,win,1,3rd Party,0.0
2019.11.1,US,win,1,Trump,45.6
2019.11.1,US,win,1,Democrats,54.4
2019.11.1,US,win,1,3rd Party,0.0
2019.11.1,US,win,2,Trump,46.0
2019.11.1,US,win,2,Democrats,49.9
2019.11.1,US,win,2,3rd Party,4.0
2019.11.1,US,win,3,Trump,242.6
2019.11.1,US,win,3,Democrats,295.4
2019.11.1,US,win,3,3rd Party,0.0
2019.11.1,Texas,vote,1,Trump,53.0
2019.11.1,Texas,vote,1,Democrats,44.1
2019.11.1,Texas,vote,1,3rd Party,2.7
2019.11.1,Texas,win,1,Trump,76.6
2019.11.1,Texas,win,1,Democrats,23.4
2019.11.1,Texas,win,1,3rd Party,0.0
2019.11.1,Tennessee,vote,1,Trump,61.2
2019.11.1,Tennessee,vote,1,Democrats,36.0
2019.11.1,Tennessee,vote,1,3rd Party,2.6
2019.11.1,Tennessee,win,1,Trump,98.2
2019.11.1,Tennessee,win,1,Democrats,1.8
2019.11.1,Tennessee,win,1,3rd Party,0.0
2019.11.1,South Dakota,vote,1,Trump,61.8
2019.11.1,South Dakota,vote,1,Democrats,34.0
2019.11.1,South Dakota,vote,1,3rd Party,4.1
2019.11.1,South Dakota,win,1,Trump,99.5
2019.11.1,South Dakota,win,1,Democrats,0.5
2019.11.1,South Dakota,win,1,3rd Party,0.0
2019.11.1,South Carolina,vote,1,Trump,55.5
2019.11.1,South Carolina,vote,1,Democrats,41.4
2019.11.1,South Carolina,vote,1,3rd Party,3.0
2019.11.1,South Carolina,win,1,Trump,85.5
2019.11.1,South Carolina,win,1,Democrats,14.5
2019.11.1,South Carolina,win,1,3rd Party,0.0
2019.11.1,Rhode Island,vote,1,Trump,36.4
2019.11.1,Rhode Island,vote,1,Democrats,58.6
2019.11.1,Rhode Island,vote,1,3rd Party,4.9
2019.11.1,Rhode Island,win,1,Trump,4.3
2019.11.1,Rhode Island,win,1,Democrats,95.7
2019.11.1,Rhode Island,win,1,3rd Party,0.0
2019.11.1,Pennsylvania,vote,1,Trump,46.9
2019.11.1,Pennsylvania,vote,1,Democrats,49.7
2019.11.1,Pennsylvania,vote,1,3rd Party,3.3
2019.11.1,Pennsylvania,win,1,Trump,41.7
2019.11.1,Pennsylvania,win,1,Democrats,58.3
2019.11.1,Pennsylvania,win,1,3rd Party,0.0
2019.11.1,Oregon,vote,1,Trump,38.6
2019.11.1,Oregon,vote,1,Democrats,54.7
2019.11.1,Oregon,vote,1,3rd Party,6.6
2019.11.1,Oregon,win,1,Trump,12.6
2019.11.1,Oregon,win,1,Democrats,87.4
2019.11.1,Oregon,win,1,3rd Party,0.0
2019.11.1,Oklahoma,vote,1,Trump,66.2
2019.11.1,Oklahoma,vote,1,Democrats,31.5
2019.11.1,Oklahoma,vote,1,3rd Party,2.2
2019.11.1,Oklahoma,win,1,Trump,99.9
2019.11.1,Oklahoma,win,1,Democrats,0.1
2019.11.1,Oklahoma,win,1,3rd Party,0.0
2019.11.1,Ohio,vote,1,Trump,51.1
2019.11.1,Ohio,vote,1,Democrats,44.8
2019.11.1,Ohio,vote,1,3rd Party,4.0
2019.11.1,Ohio,win,1,Trump,68.5
2019.11.1,Ohio,win,1,Democrats,31.5
2019.11.1,Ohio,win,1,3rd Party,0.0
2019.11.1,North Dakota,vote,1,Trump,63.0
2019.11.1,North Dakota,vote,1,Democrats,31.0
2019.11.1,North Dakota,vote,1,3rd Party,5.9
2019.11.1,North Dakota,win,1,Trump,99.9
2019.11.1,North Dakota,win,1,Democrats,0.1
2019.11.1,North Dakota,win,1,3rd Party,0.0
2019.11.1,North Carolina,vote,1,Trump,49.6
2019.11.1,North Carolina,vote,1,Democrats,48.3
2019.11.1,North Carolina,vote,1,3rd Party,2.0
2019.11.1,North Carolina,win,1,Trump,54.2
2019.11.1,North Carolina,win,1,Democrats,45.8
2019.11.1,North Carolina,win,1,3rd Party,0.0
2019.11.1,New York,vote,1,Trump,34.9
2019.11.1,New York,vote,1,Democrats,60.0
2019.11.1,New York,vote,1,3rd Party,5.0
2019.11.1,New York,win,1,Trump,1.4
2019.11.1,New York,win,1,Democrats,98.6
2019.11.1,New York,win,1,3rd Party,0.0
2019.11.1,New Mexico,vote,1,Trump,40.5
2019.11.1,New Mexico,vote,1,Democrats,54.2
2019.11.1,New Mexico,vote,1,3rd Party,5.1
2019.11.1,New Mexico,win,1,Trump,16.4
2019.11.1,New Mexico,win,1,Democrats,83.6
2019.11.1,New Mexico,win,1,3rd Party,0.0
2019.11.1,New Jersey,vote,1,Trump,39.1
2019.11.1,New Jersey,vote,1,Democrats,57.4
2019.11.1,New Jersey,vote,1,3rd Party,3.4
2019.11.1,New Jersey,win,1,Trump,9.4
2019.11.1,New Jersey,win,1,Democrats,90.6
2019.11.1,New Jersey,win,1,3rd Party,0.0
2019.11.1,New Hampshire,vote,1,Trump,45.0
2019.11.1,New Hampshire,vote,1,Democrats,50.6
2019.11.1,New Hampshire,vote,1,3rd Party,4.2
2019.11.1,New Hampshire,win,1,Trump,33.5
2019.11.1,New Hampshire,win,1,Democrats,66.5
2019.11.1,New Hampshire,win,1,3rd Party,0.0
2019.11.1,Nevada,vote,1,Trump,45.0
2019.11.1,Nevada,vote,1,Democrats,49.6
2019.11.1,Nevada,vote,1,3rd Party,5.3
2019.11.1,Nevada,win,1,Trump,36.9
